> Executing task: loadp2 -b230400 isp_measure_panel.binary -t -p/dev/ttyUSB0 <

( Entering terminal mode.  Press Ctrl-] or Ctrl-Z to exit. )

Measure Panel Started!

Start()
Setup...
 - Freq1: 335000000
 - Tix: 271
ID Slave...
 - sensor0: Found SLAVE0
 - sensor1: Found SLAVE0
 - sensor2: Found SLAVE0
power-on sensor #0
 - Power-on #0 worked
power-on sensor #1
 - Power-on #1 worked
power-on sensor #2
 - Power-on #2 worked
Pattern, Color, Bits, Count, LumenAvg, Lumen0, Lumen1, Lumen2
spread, Green, 0b0000000000000000, 3 of 3, 0, 0, 0, 0
spread, Green, 0b0000000000000001, 3 of 3, 126, 130, 122, 127
spread, Green, 0b0000000100000001, 3 of 3, 254, 263, 245, 255
spread, Green, 0b0000010000100001, 3 of 3, 382, 396, 368, 384
spread, Green, 0b0001000100010001, 3 of 3, 511, 533, 490, 511
spread, Green, 0b0010010001001001, 3 of 3, 640, 663, 614, 645
spread, Green, 0b0010010100100101, 3 of 3, 768, 795, 738, 773
spread, Green, 0b0101010010100101, 3 of 3, 896, 929, 860, 901
spread, Green, 0b0101010101010101, 3 of 3, 1024, 1062, 982, 1030
spread, Green, 0b0101010111010101, 3 of 3, 1153, 1197, 1105, 1158
spread, Green, 0b0101110101011101, 3 of 3, 1283, 1330, 1229, 1291
spread, Green, 0b0101110111011101, 3 of 3, 1411, 1463, 1351, 1420
spread, Green, 0b1101110111011101, 3 of 3, 1539, 1595, 1474, 1548
spread, Green, 0b1101110111111101, 3 of 3, 1667, 1730, 1596, 1675
spread, Green, 0b1111110111111101, 3 of 3, 1798, 1862, 1720, 1813
spread, Green, 0b1101111111111111, 3 of 3, 1924, 1995, 1840, 1938

spread, Blue, 0b0000000000000000, 3 of 3, 0, 0, 0, 0
spread, Blue, 0b0000000000000001, 3 of 3, 30, 30, 31, 31
spread, Blue, 0b0000000100000001, 3 of 3, 64, 64, 64, 64
spread, Blue, 0b0000010000100001, 3 of 3, 96, 97, 95, 96
spread, Blue, 0b0001000100010001, 3 of 3, 130, 132, 126, 134
spread, Blue, 0b0010010001001001, 3 of 3, 163, 165, 158, 166
spread, Blue, 0b0010010100100101, 3 of 3, 196, 199, 190, 200
spread, Blue, 0b0101010010100101, 3 of 3, 230, 234, 221, 237
spread, Blue, 0b0101010101010101, 3 of 3, 263, 267, 253, 270
spread, Blue, 0b0101010111010101, 3 of 3, 296, 300, 285, 303
spread, Blue, 0b0101110101011101, 3 of 3, 330, 335, 317, 340
spread, Blue, 0b0101110111011101, 3 of 3, 363, 369, 348, 373
spread, Blue, 0b1101110111011101, 3 of 3, 395, 402, 380, 405
spread, Blue, 0b1101110111111101, 3 of 3, 430, 437, 412, 443
spread, Blue, 0b1111110111111101, 3 of 3, 462, 470, 443, 475
spread, Blue, 0b1101111111111111, 3 of 3, 496, 504, 475, 509

spread, White, 0b0000000000000000, 3 of 3, 0, 0, 0, 0
spread, White, 0b0000000000000001, 3 of 3, 235, 242, 226, 239
spread, White, 0b0000000100000001, 3 of 3, 474, 488, 454, 480
spread, White, 0b0000010000100001, 3 of 3, 711, 730, 683, 721
spread, White, 0b0001000100010001, 3 of 3, 951, 978, 909, 967
spread, White, 0b0010010001001001, 3 of 3, 1189, 1220, 1139, 1209
spread, White, 0b0010010100100101, 3 of 3, 1426, 1465, 1365, 1450
spread, White, 0b0101010010100101, 3 of 3, 1664, 1710, 1591, 1692
spread, White, 0b0101010101010101, 3 of 3, 1903, 1954, 1819, 1937
spread, White, 0b0101010111010101, 3 of 3, 2139, 2197, 2045, 2175
spread, White, 0b0101110101011101, 3 of 3, 2377, 2442, 2272, 2417
spread, White, 0b0101110111011101, 3 of 3, 2617, 2688, 2498, 2666
spread, White, 0b1101110111011101, 3 of 3, 2854, 2931, 2726, 2905
spread, White, 0b1101110111111101, 3 of 3, 3090, 3173, 2954, 3144
spread, White, 0b1111110111111101, 3 of 3, 3328, 3419, 3179, 3386
spread, White, 0b1101111111111111, 3 of 3, 3565, 3663, 3405, 3629

grouped2, Red, 0b0000000000000000, 3 of 3, 0, 0, 0, 0
grouped2, Red, 0b0000000000000001, 3 of 3, 73, 74, 73, 73
grouped2, Red, 0b0000000100000001, 3 of 3, 150, 152, 145, 154
grouped2, Red, 0b0000000100000011, 3 of 3, 227, 230, 217, 234
grouped2, Red, 0b0000001100000011, 3 of 3, 302, 307, 290, 309
grouped2, Red, 0b0000001100000111, 3 of 3, 379, 385, 364, 390
grouped2, Red, 0b0000011100000111, 3 of 3, 455, 462, 435, 469
grouped2, Red, 0b0000011100001111, 3 of 3, 533, 540, 510, 549
grouped2, Red, 0b0000111100001111, 3 of 3, 607, 616, 582, 624
grouped2, Red, 0b0000111100011111, 3 of 3, 684, 695, 654, 704
grouped2, Red, 0b0001111100011111, 3 of 3, 760, 772, 727, 782
grouped2, Red, 0b0001111100111111, 3 of 3, 836, 848, 799, 861
grouped2, Red, 0b0011111100111111, 3 of 3, 910, 925, 870, 935
grouped2, Red, 0b0011111101111111, 3 of 3, 987, 1003, 943, 1015
grouped2, Red, 0b0111111101111111, 3 of 3, 1063, 1080, 1015, 1095
grouped2, Red, 0b0111111111111111, 3 of 3, 1138, 1156, 1086, 1174

grouped2, Green, 0b0000000000000000, 3 of 3, 0, 0, 0, 0
grouped2, Green, 0b0000000000000001, 3 of 3, 126, 130, 122, 126
grouped2, Green, 0b0000000100000001, 3 of 3, 254, 263, 245, 255
grouped2, Green, 0b0000000100000011, 3 of 3, 381, 395, 368, 382
grouped2, Green, 0b0000001100000011, 3 of 3, 510, 530, 490, 510
grouped2, Green, 0b0000001100000111, 3 of 3, 639, 664, 613, 642
grouped2, Green, 0b0000011100000111, 3 of 3, 768, 797, 736, 772
grouped2, Green, 0b0000011100001111, 3 of 3, 896, 930, 860, 900
grouped2, Green, 0b0000111100001111, 3 of 3, 1025, 1062, 983, 1030
grouped2, Green, 0b0000111100011111, 3 of 3, 1153, 1195, 1105, 1160
grouped2, Green, 0b0001111100011111, 3 of 3, 1282, 1330, 1226, 1291
grouped2, Green, 0b0001111100111111, 3 of 3, 1411, 1462, 1352, 1419
grouped2, Green, 0b0011111100111111, 3 of 3, 1540, 1595, 1475, 1550
grouped2, Green, 0b0011111101111111, 3 of 3, 1667, 1730, 1597, 1676
grouped2, Green, 0b0111111101111111, 3 of 3, 1797, 1861, 1719, 1813
grouped2, Green, 0b0111111111111111, 3 of 3, 1924, 1995, 1841, 1938

grouped2, Blue, 0b0000000000000000, 3 of 3, 0, 0, 0, 0
grouped2, Blue, 0b0000000000000001, 3 of 3, 30, 30, 31, 30
grouped2, Blue, 0b0000000100000001, 3 of 3, 63, 64, 63, 64
grouped2, Blue, 0b0000000100000011, 3 of 3, 99, 97, 95, 106
grouped2, Blue, 0b0000001100000011, 3 of 3, 131, 133, 126, 134
grouped2, Blue, 0b0000001100000111, 3 of 3, 163, 166, 159, 166
grouped2, Blue, 0b0000011100000111, 3 of 3, 196, 200, 190, 200
grouped2, Blue, 0b0000011100001111, 3 of 3, 231, 235, 221, 237
grouped2, Blue, 0b0000111100001111, 3 of 3, 264, 268, 254, 270
grouped2, Blue, 0b0000111100011111, 3 of 3, 296, 301, 286, 302
grouped2, Blue, 0b0001111100011111, 3 of 3, 332, 336, 320, 340
grouped2, Blue, 0b0001111100111111, 3 of 3, 364, 370, 349, 373
grouped2, Blue, 0b0011111100111111, 3 of 3, 396, 403, 381, 406
grouped2, Blue, 0b0011111101111111, 3 of 3, 431, 438, 413, 444
grouped2, Blue, 0b0111111101111111, 3 of 3, 464, 471, 444, 477
grouped2, Blue, 0b0111111111111111, 3 of 3, 497, 505, 476, 510

grouped2, White, 0b0000000000000000, 3 of 3, 0, 0, 0, 0
grouped2, White, 0b0000000000000001, 3 of 3, 235, 241, 226, 240
grouped2, White, 0b0000000100000001, 3 of 3, 473, 485, 455, 481
grouped2, White, 0b0000000100000011, 3 of 3, 710, 729, 680, 722
grouped2, White, 0b0000001100000011, 3 of 3, 950, 975, 908, 969
grouped2, White, 0b0000001100000111, 3 of 3, 1187, 1218, 1135, 1210
grouped2, White, 0b0000011100000111, 3 of 3, 1423, 1464, 1361, 1445
grouped2, White, 0b0000011100001111, 3 of 3, 1663, 1708, 1593, 1690
grouped2, White, 0b0000111100001111, 3 of 3, 1901, 1950, 1816, 1937
grouped2, White, 0b0000111100011111, 3 of 3, 2135, 2196, 2040, 2171
grouped2, White, 0b0001111100011111, 3 of 3, 2375, 2439, 2272, 2414
grouped2, White, 0b0001111100111111, 3 of 3, 2614, 2681, 2497, 2666
grouped2, White, 0b0011111100111111, 3 of 3, 2848, 2926, 2720, 2899
grouped2, White, 0b0011111101111111, 3 of 3, 3086, 3170, 2950, 3140
grouped2, White, 0b0111111101111111, 3 of 3, 3323, 3414, 3175, 3381
grouped2, White, 0b0111111111111111, 3 of 3, 3561, 3657, 3402, 3626

DONE()
