Pattern, Color, # Bits, Bits, Count, LumenAvg, Lumen0, Lumen1, Lumen2
spread, Red, 0b0000000000000001, 1, 3 of 3, 72, 73, 73, 72
spread, Red, 0b0000000100000001, 2, 3 of 3, 148, 151, 144, 151
spread, Red, 0b0000010000100001, 3, 3 of 3, 224, 228, 215, 230
spread, Red, 0b0001000100010001, 4, 3 of 3, 299, 304, 288, 305
spread, Red, 0b0010010001001001, 5, 3 of 3, 374, 380, 359, 384
spread, Red, 0b0010010100100101, 6, 3 of 3, 449, 457, 430, 462
spread, Red, 0b0101010010100101, 7, 3 of 3, 526, 534, 504, 542
spread, Red, 0b0101010101010101, 8, 3 of 3, 600, 610, 575, 615
spread, Red, 0b0101010111010101, 9, 3 of 3, 675, 685, 645, 695
spread, Red, 0b0101110101011101, 10, 3 of 3, 750, 762, 718, 772
spread, Red, 0b0101110111011101, 11, 3 of 3, 826, 838, 789, 853
spread, Red, 0b1101110111011101, 12, 3 of 3, 899, 914, 860, 925
spread, Red, 0b1101110111111101, 13, 3 of 3, 975, 990, 932, 1003
spread, Red, 0b1111110111111101, 14, 3 of 3, 1050, 1067, 1003, 1080
spread, Red, 0b1101111111111111, 15, 3 of 3, 1122, 1141, 1073, 1154
spread, Red, 0b1111111111111111, 16, 3 of 3, 1198, 1217, 1145, 1232
spread, Green, 0b0000000000000000, 0, 3 of 3, 0, 0, 0, 0
spread, Green, 0b0000000000000001, 1, 3 of 3, 126, 130, 123, 127
spread, Green, 0b0000000100000001, 2, 3 of 3, 254, 262, 245, 255
spread, Green, 0b0000010000100001, 3, 3 of 3, 382, 394, 368, 384
spread, Green, 0b0001000100010001, 4, 3 of 3, 509, 525, 491, 511
spread, Green, 0b0010010001001001, 5, 3 of 3, 640, 660, 615, 645
spread, Green, 0b0010010100100101, 6, 3 of 3, 767, 792, 737, 774
spread, Green, 0b0101010010100101, 7, 3 of 3, 895, 924, 858, 903
spread, Green, 0b0101010101010101, 8, 3 of 3, 1023, 1057, 982, 1030
spread, Green, 0b0101010111010101, 9, 3 of 3, 1151, 1190, 1105, 1158
spread, Green, 0b0101110101011101, 10, 3 of 3, 1280, 1323, 1228, 1291
